pokemon,pokemonb,avg_moves,pokemon_wins,pokemonb_wins,ties
dragonite,omastar,23.902,382,618,0
kabuto,omastar,4.937,25,975,0
omastar,raichu,6.098,217,783,0
mewtwo,omastar,6.87,991,9,0
omastar,poliwag,5.64,1000,0,0
omastar,snorlax,17.877,19,981,0
dugtrio,omastar,3.763,79,921,0
nidoking,omastar,7.68,0,1000,0
dodrio,omastar,7.462,0,1000,0
gastly,omastar,5.396,32,968,0
kingler,omastar,9.782,320,680,0
omastar,vulpix,3.597,1000,0,0
omastar,victreebel,8.522,73,927,0
omastar,slowpoke,13.201,985,15,0
alakazam,omastar,5.563,838,162,0
nidoran-f,omastar,5.566,0,1000,0
fearow,omastar,8.218,0,1000,0
omastar,spearow,3.416,1000,0,0
omastar,ponyta,4.557,1000,0,0
omastar,tentacool,7.3,1000,0,0
omastar,paras,6.222,1000,0,0
doduo,omastar,3.753,0,1000,0
omastar,primeape,8.501,865,135,0
arbok,omastar,8.983,0,1000,0
omastar,parasect,14.693,966,34,0
hitmonlee,omastar,5.425,848,152,0
cloyster,omastar,10.899,1,999,0
omastar,squirtle,8.736,999,1,0
magmar,omastar,6.477,0,1000,0
omastar,wartortle,13.688,776,224,0
geodude,omastar,3.351,19,981,0
omastar,seaking,17.075,975,25,0
nidoran-m,omastar,4.524,0,1000,0
omastar,rattata,3.227,1000,0,0
moltres,omastar,8.802,33,967,0
hitmonchan,omastar,9.75,13,987,0
clefairy,omastar,8.174,0,1000,0
omastar,pidgeotto,6.878,1000,0,0
jynx,omastar,8.452,2,998,0
mankey,omastar,3.834,0,1000,0
omastar,starmie,14.936,830,170,0
drowzee,omastar,8.151,0,1000,0
gloom,omastar,3.499,989,11,0
magneton,omastar,7.739,108,892,0
omastar,venonat,6.913,1000,0,0
dratini,omastar,6.355,0,1000,0
omastar,scyther,11.282,1000,0,0
golduck,omastar,14.202,712,288,0
omastar,vaporeon,16.089,118,882,0
caterpie,omastar,3.545,0,1000,0
beedrill,omastar,8.46,29,971,0
marowak,omastar,6.136,127,873,0
omastar,rhyhorn,3.428,1000,0,0
gengar,omastar,10.262,345,655,0
omastar,seadra,7.843,373,627,0
flareon,omastar,7.354,0,1000,0
omastar,staryu,5.569,991,9,0
omastar,sandshrew,3.641,1000,0,0
omanyte,omastar,5.31,66,934,0
horsea,omastar,4.11,10,990,0
butterfree,omastar,8.543,18,982,0
diglett,omastar,1.513,0,1000,0
omastar,tentacruel,17.404,557,443,0
ekans,omastar,4.057,0,1000,0
exeggutor,omastar,22.616,0,1000,0
omastar,rapidash,6.342,1000,0,0
muk,omastar,18.405,0,1000,0
jigglypuff,omastar,6.009,0,1000,0
omastar,tangela,10.607,862,138,0
bellsprout,omastar,5.207,138,862,0
omastar,onix,3.313,1000,0,0
kadabra,shellder,1.506,1000,0,0
jolteon,kadabra,4.587,853,147,0
kadabra,venomoth,3.04,664,336,0
kadabra,weepinbell,2.175,775,225,0
goldeen,kadabra,3.061,280,720,0
exeggcute,kadabra,5.528,793,207,0
kadabra,meowth,2.413,876,124,0
electrode,kadabra,3.769,730,270,0
kadabra,wigglytuff,3.3,2,998,0
kadabra,kangaskhan,2.971,0,1000,0
eevee,kadabra,4.041,533,467,0
chansey,kadabra,17.088,1000,0,0
grimer,kadabra,3.226,0,1000,0
growlithe,kadabra,3.49,278,722,0
kabutops,kadabra,3.738,683,317,0
kadabra,krabby,1.38,852,148,0
charmander,kadabra,3.14,23,977,0
farfetchd,kadabra,2.699,815,185,0
kadabra,pidgeot,4.513,93,907,0
kadabra,koffing,1.312,794,206,0
kadabra,vileplume,3.417,383,617,0
kadabra,rhydon,2.82,19,981,0
kadabra,machamp,4.231,532,468,0
cubone,kadabra,3.206,361,639,0
arcanine,kadabra,3.92,977,23,0
articuno,kadabra,3.814,1000,0,0
kadabra,weedle,1.501,1000,0,0
kadabra,nidoqueen,4.112,487,513,0
kadabra,weezing,2.463,524,476,0
kadabra,zapdos,3.023,0,1000,0
kadabra,machop,2.021,997,3,0
hypno,kadabra,7.474,1000,0,0
kadabra,poliwhirl,4.315,766,234,0
kadabra,zubat,1.49,984,16,0
clefable,kadabra,4.653,996,4,0
kadabra,magnemite,2.165,1000,0,0
golem,kadabra,2.356,991,9,0
kadabra,venusaur,3.014,147,853,0
kadabra,voltorb,3.178,874,126,0
kadabra,magikarp,1.497,1000,0,0
kadabra,machoke,3.291,886,114,0
kadabra,pikachu,2.733,999,1,0
kadabra,lickitung,4.982,80,920,0
gyarados,kadabra,5.495,953,47,0
kadabra,persian,3.264,151,849,0
kadabra,oddish,2.293,942,58,0
kadabra,pidgey,2.386,994,6,0
kadabra,pinsir,3.209,136,864,0
kadabra,raticate,4.057,422,578,0
dewgong,kadabra,4.722,999,1,0
kadabra,nidorina,3.035,980,20,0
kadabra,psyduck,3.627,948,52,0
bulbasaur,kadabra,2.268,64,936,0
kadabra,ninetales,7.026,170,830,0
kadabra,lapras,4.334,0,1000,0
haunter,kadabra,2.036,0,1000,0
charmeleon,kadabra,4.727,307,693,0
blastoise,kadabra,4.669,985,15,0
kadabra,mew,4.39,0,1000,0
kadabra,slowbro,7.045,0,1000,0
kadabra,tauros,2.976,18,982,0
graveler,kadabra,2.062,780,220,0
kadabra,seel,5.726,803,197,0
dragonite,kadabra,4.809,965,35,0
kabuto,kadabra,2.184,71,929,0
kadabra,raichu,5.897,722,278,0
kadabra,mewtwo,5.315,0,1000,0
kadabra,poliwag,2.557,986,14,0
kadabra,snorlax,2.029,0,1000,0
dugtrio,kadabra,1.874,826,174,0
kadabra,nidoking,2.902,411,589,0
dodrio,kadabra,3.158,761,239,0
gastly,kadabra,1.507,0,1000,0
kadabra,kingler,2.615,376,624,0
kadabra,vulpix,3.566,999,1,0
kadabra,victreebel,2.808,522,478,0
kadabra,slowpoke,8.61,638,362,0
alakazam,kadabra,6.846,1000,0,0
kadabra,nidoran-f,1.713,998,2,0
fearow,kadabra,2.865,887,113,0
kadabra,spearow,1.872,879,121,0
kadabra,ponyta,3.932,586,414,0
kadabra,tentacool,3.05,1000,0,0
kadabra,paras,2.287,539,461,0
doduo,kadabra,1.825,157,843,0
kadabra,primeape,2.663,569,431,0
arbok,kadabra,3.347,55,945,0
kadabra,parasect,2.709,57,943,0
hitmonlee,kadabra,2.335,727,273,0
cloyster,kadabra,2.991,294,706,0
kadabra,squirtle,3.743,928,72,0
kadabra,magmar,4.279,174,826,0
kadabra,wartortle,4.983,438,562,0
geodude,kadabra,1.463,400,600,0
kadabra,seaking,3.587,20,980,0
kadabra,nidoran-m,1.494,1000,0,0
kadabra,rattata,1.737,975,25,0
kadabra,moltres,3.376,4,996,0
hitmonchan,kadabra,2.963,479,521,0
clefairy,kadabra,5.976,78,922,0
kadabra,pidgeotto,4.094,723,277,0
jynx,kadabra,5.25,998,2,0
kadabra,mankey,1.502,978,22,0
kadabra,starmie,6.53,0,1000,0
drowzee,kadabra,10.821,746,254,0
gloom,kadabra,3.153,176,824,0
kadabra,magneton,4.78,943,57,0
kadabra,venonat,2.214,781,219,0
dratini,kadabra,3.224,24,976,0
kadabra,scyther,2.804,22,978,0
golduck,kadabra,5.048,870,130,0
kadabra,vaporeon,5.49,0,1000,0
caterpie,kadabra,1.475,0,1000,0
beedrill,kadabra,2.292,693,307,0
kadabra,marowak,3.137,67,933,0
kadabra,rhyhorn,3.016,505,495,0
gengar,kadabra,3.364,0,1000,0
kadabra,seadra,3.376,816,184,0
flareon,kadabra,4.848,962,38,0
kadabra,staryu,2.527,973,27,0
kadabra,sandshrew,2.479,921,79,0
kadabra,omanyte,2.963,932,68,0
horsea,kadabra,1.503,0,1000,0
butterfree,kadabra,6.277,0,1000,0
diglett,kadabra,1.461,46,954,0
kadabra,tentacruel,5.547,773,227,0
ekans,kadabra,1.532,0,1000,0
exeggutor,kadabra,3.708,1000,0,0
kadabra,rapidash,4.263,172,828,0
kadabra,muk,5.472,308,692,0
jigglypuff,kadabra,3.445,477,523,0
kadabra,tangela,3.767,985,15,0
bellsprout,kadabra,1.463,30,970,0
kadabra,onix,2.527,997,3,0
jolteon,shellder,5.029,1000,0,0
shellder,venomoth,3.712,0,1000,0
shellder,weepinbell,4.429,38,962,0
goldeen,shellder,11.254,1000,0,0
exeggcute,shellder,3.399,947,53,0
meowth,shellder,7.442,222,778,0
electrode,shellder,6.026,996,4,0
shellder,wigglytuff,5.742,0,1000,0
kangaskhan,shellder,5.742,1000,0,0
eevee,shellder,10.338,969,31,0
chansey,shellder,12.679,330,670,0
grimer,shellder,6.223,1000,0,0
growlithe,shellder,5.548,907,93,0
kabutops,shellder,4.402,1000,0,0
krabby,shellder,7.494,841,159,0
charmander,shellder,6.131,368,632,0
farfetchd,shellder,5.451,950,50,0
pidgeot,shellder,5.353,1000,0,0
koffing,shellder,4.468,988,12,0
shellder,vileplume,1.691,0,1000,0
rhydon,shellder,5.484,1000,0,0
machamp,shellder,5.44,1000,0,0
cubone,shellder,7.223,413,587,0
arcanine,shellder,4.881,1000,0,0
articuno,shellder,2.841,1000,0,0
shellder,weedle,5.218,1000,0,0
nidoqueen,shellder,10.385,999,1,0
shellder,weezing,3.38,0,1000,0
shellder,zapdos,2.32,0,1000,0
machop,shellder,7.442,986,14,0
hypno,shellder,3.922,1000,0,0
poliwhirl,shellder,6.883,1000,0,0
shellder,zubat,5.475,996,4,0
clefable,shellder,8.374,1000,0,0
magnemite,shellder,4.119,843,157,0
golem,shellder,3.517,997,3,0
shellder,venusaur,3.341,0,1000,0
shellder,voltorb,7.769,307,693,0
magikarp,shellder,5.914,0,1000,0
machoke,shellder,6.573,1000,0,0
pikachu,shellder,3.254,962,38,0
lickitung,shellder,10.125,1000,0,0
gyarados,shellder,4.001,1000,0,0
persian,shellder,7.095,1000,0,0
oddish,shellder,2.46,1000,0,0
pidgey,shellder,5.077,91,909,0
pinsir,shellder,5.616,1000,0,0
raticate,shellder,9.024,988,12,0
dewgong,shellder,5.085,1000,0,0
nidorina,shellder,13.188,966,34,0
psyduck,shellder,5.684,1000,0,0
bulbasaur,shellder,4.37,931,69,0
ninetales,shellder,8.062,998,2,0
lapras,shellder,3.643,1000,0,0
haunter,shellder,5.153,914,86,0
charmeleon,shellder,6.718,929,71,0
blastoise,shellder,5.225,1000,0,0
mew,shellder,4.226,1000,0,0
shellder,slowbro,3.024,0,1000,0
shellder,tauros,5.856,0,1000,0
graveler,shellder,4.253,886,114,0
seel,shellder,9.631,1000,0,0
dragonite,shellder,5.542,965,35,0
kabuto,shellder,5.49,998,2,0
raichu,shellder,1.494,1000,0,0
mewtwo,shellder,1.479,1000,0,0
poliwag,shellder,8.51,941,59,0
shellder,snorlax,3.116,0,1000,0
dugtrio,shellder,4.325,683,317,0
nidoking,shellder,7.87,990,10,0
dodrio,shellder,4.417,985,15,0
gastly,shellder,3.933,717,283,0
kingler,shellder,5.702,1000,0,0
shellder,vulpix,6.351,548,452,0
shellder,victreebel,3.117,0,1000,0
shellder,slowpoke,5.437,0,1000,0
alakazam,shellder,1.495,1000,0,0
nidoran-f,shellder,11.628,147,853,0
fearow,shellder,5.895,984,16,0
shellder,spearow,4.435,903,97,0
ponyta,shellder,6.837,959,41,0
shellder,tentacool,9.178,114,886,0
paras,shellder,6.44,328,672,0
doduo,shellder,4.077,328,672,0
primeape,shellder,5.434,1000,0,0
arbok,shellder,8.201,998,2,0
parasect,shellder,6.719,995,5,0
hitmonlee,shellder,3.54,1000,0,0
cloyster,shellder,6.213,1000,0,0
shellder,squirtle,8.436,0,1000,0
magmar,shellder,4.227,1000,0,0
shellder,wartortle,6.606,0,1000,0
geodude,shellder,3.797,398,602,0
seaking,shellder,9.34,1000,0,0
nidoran-m,shellder,9.198,114,886,0
rattata,shellder,5.506,4,996,0
moltres,shellder,3.515,1000,0,0
hitmonchan,shellder,7.91,999,1,0
clefairy,shellder,16.935,639,361,0
pidgeotto,shellder,6.61,886,114,0
jynx,shellder,8.891,969,31,0
mankey,shellder,6.46,759,241,0
shellder,starmie,6.763,0,1000,0
drowzee,shellder,5.367,996,4,0
gloom,shellder,2.359,1000,0,0
magneton,shellder,3.619,993,7,0
shellder,venonat,6.307,2,998,0
dratini,shellder,4.583,623,377,0
scyther,shellder,6.031,999,1,0
golduck,shellder,4.203,1000,0,0
shellder,vaporeon,5.99,0,1000,0
caterpie,shellder,6.125,0,1000,0
beedrill,shellder,6.719,1000,0,0
marowak,shellder,6.449,973,27,0
rhyhorn,shellder,7.085,519,481,0
gengar,shellder,5.227,995,5,0
seadra,shellder,3.362,1000,0,0
flareon,shellder,5.865,995,5,0
shellder,staryu,4.728,1,999,0
sandshrew,shellder,5.987,85,915,0
omanyte,shellder,5.419,1000,0,0
horsea,shellder,4.595,987,13,0
butterfree,shellder,3.22,1000,0,0
diglett,shellder,1.519,0,1000,0
shellder,tentacruel,6.442,0,1000,0
ekans,shellder,7.752,204,796,0
exeggutor,shellder,7.974,1000,0,0
rapidash,shellder,6.027,1000,0,0
muk,shellder,3.719,1000,0,0
jigglypuff,shellder,8.262,995,5,0
shellder,tangela,6.28,268,732,0
bellsprout,shellder,4.284,645,355,0
onix,shellder,5.787,6,994,0
jolteon,venomoth,9.084,639,361,0
jolteon,weepinbell,7.607,647,353,0
goldeen,jolteon,5.612,47,953,0
exeggcute,jolteon,8.037,286,714,0
jolteon,meowth,3.997,1000,0,0
electrode,jolteon,10.078,732,268,0
jolteon,wigglytuff,7.556,81,919,0
jolteon,kangaskhan,7.912,36,964,0
eevee,jolteon,7.048,40,960,0
chansey,jolteon,7.226,0,1000,0
grimer,jolteon,9.393,20,980,0
growlithe,jolteon,7.869,106,894,0
jolteon,kabutops,6.596,684,316,0
jolteon,krabby,4.038,774,226,0
charmander,jolteon,5.469,0,1000,0
farfetchd,jolteon,5.185,388,612,0
jolteon,pidgeot,10.724,792,208,0
jolteon,koffing,5.243,773,227,0
jolteon,vileplume,7.071,304,696,0
jolteon,rhydon,7.802,0,1000,0
jolteon,machamp,8.027,58,942,0
cubone,jolteon,7.708,981,19,0
arcanine,jolteon,8.786,917,83,0
articuno,jolteon,8.822,797,203,0
jolteon,weedle,3.892,1000,0,0
jolteon,nidoqueen,13.672,86,914,0
jolteon,weezing,6.519,218,782,0
jolteon,zapdos,12.557,145,855,0
jolteon,machop,7.877,633,367,0
hypno,jolteon,11.926,614,386,0
jolteon,poliwhirl,7.043,930,70,0
jolteon,zubat,4.411,1000,0,0
clefable,jolteon,11.895,810,190,0
jolteon,magnemite,4.686,1000,0,0
golem,jolteon,3.856,1000,0,0
jolteon,venusaur,7.572,248,752,0
jolteon,voltorb,7.331,971,29,0
jolteon,magikarp,3.191,1000,0,0
jolteon,machoke,8.766,284,716,0
jolteon,pikachu,5.626,1000,0,0
jolteon,lickitung,11.721,570,430,0
gyarados,jolteon,8.259,359,641,0
jolteon,persian,7.514,571,429,0
jolteon,oddish,7.448,787,213,0
jolteon,pidgey,4.535,1000,0,0
jolteon,pinsir,7.403,203,797,0
jolteon,raticate,7.456,818,182,0
dewgong,jolteon,9.6,476,524,0
jolteon,nidorina,9.931,923,77,0
jolteon,psyduck,5.39,995,5,0
bulbasaur,jolteon,7.501,118,882,0
jolteon,ninetales,14.174,537,463,0
jolteon,lapras,9.249,159,841,0
haunter,jolteon,7.319,123,877,0
charmeleon,jolteon,9.769,192,808,0
blastoise,jolteon,9.305,583,417,0
jolteon,mew,8.758,33,967,0
jolteon,slowbro,9.234,462,538,0
jolteon,tauros,7.062,186,814,0
graveler,jolteon,4.865,1000,0,0
jolteon,seel,7.724,999,1,0
dragonite,jolteon,10.986,936,64,0
jolteon,kabuto,4.699,961,39,0
jolteon,raichu,12.319,1000,0,0
jolteon,mewtwo,7.157,25,975,0
jolteon,poliwag,4.161,1000,0,0
jolteon,snorlax,5.218,0,1000,0
dugtrio,jolteon,4.005,946,54,0
jolteon,nidoking,9.785,65,935,0
dodrio,jolteon,6.448,285,715,0
gastly,jolteon,4.921,27,973,0
jolteon,kingler,4.473,455,545,0
jolteon,vulpix,5.892,1000,0,0
jolteon,victreebel,8.143,435,565,0
jolteon,slowpoke,7.315,951,49,0
alakazam,jolteon,5.902,577,423,0
jolteon,nidoran-f,6.368,1000,0,0
fearow,jolteon,6.876,297,703,0
jolteon,spearow,4.026,1000,0,0
jolteon,ponyta,8.367,841,159,0
jolteon,tentacool,4.658,1000,0,0
jolteon,paras,6.457,871,129,0
doduo,jolteon,4.486,14,986,0
jolteon,primeape,7.49,245,755,0
arbok,jolteon,10.147,71,929,0
jolteon,parasect,8.037,210,790,0
hitmonlee,jolteon,4.378,964,36,0
cloyster,jolteon,5.858,224,776,0
jolteon,squirtle,5.803,997,3,0
jolteon,magmar,8.962,309,691,0
jolteon,wartortle,7.629,825,175,0
geodude,jolteon,5.507,978,22,0
jolteon,seaking,8.1,627,373,0
jolteon,nidoran-m,5.13,999,1,0
jolteon,rattata,3.254,1000,0,0
jolteon,moltres,7.832,303,697,0
hitmonchan,jolteon,9.732,626,374,0
clefairy,jolteon,9.492,1,999,0
jolteon,pidgeotto,7.63,989,11,0
jolteon,jynx,7.377,823,177,0
jolteon,mankey,5.304,910,90,0
jolteon,starmie,7.761,913,87,0
drowzee,jolteon,8.711,4,996,0
gloom,jolteon,7.957,487,513,0
jolteon,magneton,9.517,993,7,0
jolteon,venonat,7.831,946,54,0
dratini,jolteon,6.875,0,1000,0
jolteon,scyther,6.845,357,643,0
golduck,jolteon,8.392,401,599,0
jolteon,vaporeon,11.3,350,650,0
caterpie,jolteon,4.751,0,1000,0
beedrill,jolteon,7.019,455,545,0
jolteon,marowak,5.561,0,1000,0
jolteon,rhyhorn,10.856,7,993,0
gengar,jolteon,9.628,288,712,0
jolteon,seadra,6.232,736,264,0
flareon,jolteon,11.103,700,300,0
jolteon,staryu,4.214,999,1,0
jolteon,sandshrew,16.341,342,658,0
jolteon,omanyte,5.487,926,74,0
horsea,jolteon,4.455,6,994,0
butterfree,jolteon,8.935,125,875,0
diglett,jolteon,2.316,71,929,0
jolteon,tentacruel,10.01,842,158,0
ekans,jolteon,4.744,0,1000,0
exeggutor,jolteon,9.931,693,307,0
jolteon,rapidash,9.731,357,643,0
jolteon,muk,13.547,310,690,0
jigglypuff,jolteon,6.352,53,947,0
jolteon,tangela,12.249,982,18,0
bellsprout,jolteon,5.563,38,962,0
jolteon,onix,20.026,631,369,0
venomoth,weepinbell,3.913,1000,0,0
goldeen,venomoth,6.469,19,981,0
exeggcute,venomoth,8.134,0,1000,0
meowth,venomoth,4.367,0,1000,0
electrode,venomoth,9.486,559,441,0
venomoth,wigglytuff,8.22,2,998,0
kangaskhan,venomoth,8.414,1000,0,0
eevee,venomoth,8.427,14,986,0
chansey,venomoth,8.872,0,1000,0
grimer,venomoth,5.965,0,1000,0
growlithe,venomoth,7.208,555,445,0
kabutops,venomoth,10.19,712,288,0
krabby,venomoth,3.524,87,913,0
charmander,venomoth,5.982,67,933,0
farfetchd,venomoth,6.243,939,61,0
pidgeot,venomoth,7.424,1000,0,0
koffing,venomoth,3.572,46,954,0
venomoth,vileplume,6.966,980,20,0
rhydon,venomoth,8.158,993,7,0
machamp,venomoth,13.694,35,965,0
cubone,venomoth,8.153,88,912,0
arcanine,venomoth,6.564,1000,0,0
articuno,venomoth,6.623,1000,0,0
venomoth,weedle,2.144,1000,0,0
nidoqueen,venomoth,9.956,103,897,0
venomoth,weezing,5.809,482,518,0
venomoth,zapdos,4.9,0,1000,0
machop,venomoth,5.869,0,1000,0
hypno,venomoth,8.166,910,90,0
poliwhirl,venomoth,9.431,51,949,0
venomoth,zubat,3.074,999,1,0
clefable,venomoth,13.244,957,43,0
magnemite,venomoth,4.271,0,1000,0
golem,venomoth,4.293,1000,0,0
venomoth,venusaur,7.745,1000,0,0
venomoth,voltorb,5.94,1000,0,0
magikarp,venomoth,2.52,0,1000,0
machoke,venomoth,9.571,0,1000,0
pikachu,venomoth,4.547,0,1000,0
lickitung,venomoth,14.239,682,318,0
gyarados,venomoth,11.615,1000,0,0
persian,venomoth,9.048,555,445,0
oddish,venomoth,3.806,0,1000,0
pidgey,venomoth,5.141,9,991,0
pinsir,venomoth,8.584,920,80,0
raticate,venomoth,9.032,178,822,0
dewgong,venomoth,10.87,1000,0,0
nidorina,venomoth,6.07,0,1000,0
psyduck,venomoth,6.645,14,986,0
bulbasaur,venomoth,3.677,0,1000,0
ninetales,venomoth,10.884,991,9,0
lapras,venomoth,8.742,1000,0,0
haunter,venomoth,4.103,149,851,0
charmeleon,venomoth,8.722,690,310,0
blastoise,venomoth,10.904,979,21,0
mew,venomoth,6.37,997,3,0
slowbro,venomoth,6.836,999,1,0
tauros,venomoth,7.978,991,9,0
graveler,venomoth,5.045,887,113,0
seel,venomoth,10.591,0,1000,0
dragonite,venomoth,10.874,997,3,0
kabuto,venomoth,5.246,22,978,0
raichu,venomoth,10.344,59,941,0
mewtwo,venomoth,3.894,1000,0,0
poliwag,venomoth,4.573,0,1000,0
snorlax,venomoth,5.441,1000,0,0
dugtrio,venomoth,5.119,374,626,0
nidoking,venomoth,7.77,245,755,0
dodrio,venomoth,6.438,917,83,0
gastly,venomoth,2.106,22,978,0
kingler,venomoth,6.022,776,224,0
venomoth,vulpix,6.684,929,71,0
venomoth,victreebel,6.007,1000,0,0
slowpoke,venomoth,11.174,500,500,0
alakazam,venomoth,3.263,892,108,0
nidoran-f,venomoth,4.12,0,1000,0
fearow,venomoth,5.296,991,9,0
spearow,venomoth,4.234,118,882,0
ponyta,venomoth,8.795,494,506,0
tentacool,venomoth,4.025,0,1000,0
paras,venomoth,4.156,114,886,0
doduo,venomoth,4.407,174,826,0
primeape,venomoth,7.724,269,731,0
arbok,venomoth,6.286,0,1000,0
parasect,venomoth,6.252,789,211,0
hitmonlee,venomoth,7.899,198,802,0
cloyster,venomoth,8.412,330,670,0
squirtle,venomoth,7.574,1,999,0
magmar,venomoth,5.245,998,2,0
venomoth,wartortle,11.193,650,350,0
geodude,venomoth,4.499,374,626,0
seaking,venomoth,9.447,956,44,0
nidoran-m,venomoth,2.926,0,1000,0
rattata,venomoth,3.506,0,1000,0
moltres,venomoth,3.801,1000,0,0
hitmonchan,venomoth,7.68,528,472,0
clefairy,venomoth,10.447,2,998,0
pidgeotto,venomoth,8.542,568,432,0
jynx,venomoth,7.385,253,747,0
mankey,venomoth,3.754,1,999,0
starmie,venomoth,11.753,360,640,0
drowzee,venomoth,8.345,263,737,0
gloom,venomoth,5.091,0,1000,0
magneton,venomoth,9.99,19,981,0
venomoth,venonat,4.738,950,50,0
dratini,venomoth,5.592,1,999,0
scyther,venomoth,8.745,988,12,0
golduck,venomoth,9.426,963,37,0
vaporeon,venomoth,12.403,989,11,0
caterpie,venomoth,3.548,0,1000,0
beedrill,venomoth,4.315,463,537,0
marowak,venomoth,8.657,931,69,0
rhyhorn,venomoth,8.978,309,691,0
gengar,venomoth,5.516,296,704,0
seadra,venomoth,7.495,424,576,0
flareon,venomoth,8.647,985,15,0
staryu,venomoth,4.706,5,995,0
sandshrew,venomoth,5.911,3,997,0
omanyte,venomoth,6.659,71,929,0
horsea,venomoth,3.429,3,997,0
butterfree,venomoth,7.661,985,15,0
diglett,venomoth,1.491,0,1000,0
tentacruel,venomoth,9.473,154,846,0
ekans,venomoth,2.67,0,1000,0
exeggutor,venomoth,9.81,518,482,0
rapidash,venomoth,8.333,992,8,0
muk,venomoth,11.508,210,790,0
jigglypuff,venomoth,7.26,17,983,0
tangela,venomoth,8.4,0,1000,0
bellsprout,venomoth,2.581,0,1000,0
onix,venomoth,6.827,12,988,0
goldeen,weepinbell,5.149,13,987,0
exeggcute,weepinbell,11.492,75,925,0
meowth,weepinbell,4.338,9,991,0
electrode,weepinbell,8.03,703,297,0
weepinbell,wigglytuff,7.525,4,996,0
kangaskhan,weepinbell,6.722,1000,0,0
eevee,weepinbell,7.928,112,888,0
chansey,weepinbell,5.144,0,1000,0
grimer,weepinbell,13.757,773,227,0
growlithe,weepinbell,5.66,854,146,0
kabutops,weepinbell,6.285,313,687,0
krabby,weepinbell,4.143,58,942,0
charmander,weepinbell,5.861,419,581,0
farfetchd,weepinbell,5.346,987,13,0
pidgeot,weepinbell,5.718,1000,0,0
koffing,weepinbell,7.271,925,75,0
vileplume,weepinbell,9.023,1000,0,0
rhydon,weepinbell,6.151,877,123,0
machamp,weepinbell,11.811,900,100,0
cubone,weepinbell,7.5,269,731,0
arcanine,weepinbell,4.77,1000,0,0
articuno,weepinbell,2.609,1000,0,0
weedle,weepinbell,5.899,0,1000,0
nidoqueen,weepinbell,12.011,987,13,0
weepinbell,weezing,5.737,0,1000,0
weepinbell,zapdos,4.984,0,1000,0
machop,weepinbell,9.182,12,988,0
hypno,weepinbell,5.769,991,9,0
poliwhirl,weepinbell,7.429,51,949,0
weepinbell,zubat,5.797,252,748,0
clefable,weepinbell,11.873,942,58,0
magnemite,weepinbell,4.945,1,999,0
golem,weepinbell,3.726,939,61,0
venusaur,weepinbell,18.56,977,23,0
voltorb,weepinbell,5.873,33,967,0
magikarp,weepinbell,2.5,0,1000,0
machoke,weepinbell,12.773,454,546,0
pikachu,weepinbell,4.351,0,1000,0
lickitung,weepinbell,12.042,862,138,0
gyarados,weepinbell,9.499,975,25,0
persian,weepinbell,7.58,746,254,0
oddish,weepinbell,12.169,204,796,0
pidgey,weepinbell,6.067,135,865,0
pinsir,weepinbell,6.961,975,25,0
raticate,weepinbell,8.171,362,638,0
dewgong,weepinbell,4.984,960,40,0
nidorina,weepinbell,17.006,528,472,0
psyduck,weepinbell,4.814,39,961,0
bulbasaur,weepinbell,11.56,0,1000,0
ninetales,weepinbell,7.483,999,1,0
lapras,weepinbell,5.842,992,8,0
haunter,weepinbell,6.749,939,61,0
charmeleon,weepinbell,6.473,919,81,0
blastoise,weepinbell,9.596,722,278,0
mew,weepinbell,4.539,1000,0,0
slowbro,weepinbell,4.55,988,12,0
tauros,weepinbell,6.67,999,1,0
graveler,weepinbell,3.928,631,369,0
seel,weepinbell,6.494,267,733,0
dragonite,weepinbell,7.926,1000,0,0
kabuto,weepinbell,4.579,88,912,0
raichu,weepinbell,9.493,19,981,0
mewtwo,weepinbell,2.812,1000,0,0
poliwag,weepinbell,3.826,0,1000,0
snorlax,weepinbell,3.874,1000,0,0
dugtrio,weepinbell,3.685,383,617,0
nidoking,weepinbell,8.855,978,22,0
dodrio,weepinbell,5.187,994,6,0
gastly,weepinbell,6.345,614,386,0
kingler,weepinbell,6.531,680,320,0
vulpix,weepinbell,5.654,403,597,0
victreebel,weepinbell,13.775,959,41,0
slowpoke,weepinbell,7.76,535,465,0
alakazam,weepinbell,2.094,987,13,0
nidoran-f,weepinbell,11.885,15,985,0
fearow,weepinbell,4.449,1000,0,0
spearow,weepinbell,4.431,394,606,0
ponyta,weepinbell,6.744,917,83,0
tentacool,weepinbell,5.111,0,1000,0
paras,weepinbell,3.462,614,386,0
doduo,weepinbell,4.845,458,542,0
primeape,weepinbell,7.559,764,236,0
arbok,weepinbell,13.744,726,274,0
parasect,weepinbell,4.468,883,117,0
hitmonlee,weepinbell,5.815,711,289,0
cloyster,weepinbell,6.079,838,162,0
squirtle,weepinbell,5.394,6,994,0
magmar,weepinbell,3.654,997,3,0
wartortle,weepinbell,7.995,138,862,0
geodude,weepinbell,3.919,449,551,0
seaking,weepinbell,7.698,532,468,0
nidoran-m,weepinbell,8.282,0,1000,0
rattata,weepinbell,3.657,0,1000,0
moltres,weepinbell,3.294,1000,0,0
hitmonchan,weepinbell,6.752,806,194,0
clefairy,weepinbell,9.521,1,999,0
pidgeotto,weepinbell,7.37,951,49,0
jynx,weepinbell,5.592,492,508,0
mankey,weepinbell,4.407,39,961,0
starmie,weepinbell,9.147,71,929,0
